"rideable_type","member_casual","day_ride","day_of_week","rid_na","sta_na","end_na","meber_na","err_date","media_min","ndatos","max_min"
"classic_bike","casual","2022-10-27",4,0,0,0,0,0,17.670456397718,1227,1499.9
"classic_bike","casual","2022-10-28",5,0,0,0,0,0,21.5493802440885,1748,1499.86666666667
"classic_bike","casual","2022-10-29",6,0,0,0,0,0,23.132675744879,2864,1499.9
"classic_bike","casual","2022-10-30",7,0,0,0,0,0,27.394395280236,1808,1499.91666666667
"classic_bike","casual","2022-10-31",1,0,0,0,0,0,22.8403744970597,1077,1499.91666666667
"classic_bike","casual","2022-11-01",2,0,0,0,0,0,22.7164649181798,1487,1499.93333333333
"classic_bike","casual","2022-11-02",3,0,0,0,0,0,22.404,1750,1499.9
"classic_bike","casual","2022-11-03",4,0,0,0,0,0,23.9663107947805,2248,1499.9
"classic_bike","casual","2022-11-04",5,0,0,0,0,0,20.0050379198267,1846,1499.91666666667
"classic_bike","casual","2022-11-05",6,0,0,0,0,0,20.4805844907407,1152,1439.93333333333
"classic_bike","casual","2022-11-06",7,0,0,0,0,0,29.1174265259985,2654,1499.91666666667
"classic_bike","casual","2022-11-06",7,0,0,0,0,1,-42.6708333333333,8,-31.0666666666667
"classic_bike","casual","2022-11-07",1,0,0,0,0,0,21.6343221441582,1281,1499.9
"classic_bike","casual","2022-11-08",2,0,0,0,0,0,19.3964731814842,1361,1499.93333333333
"classic_bike","casual","2022-11-09",3,0,0,0,0,0,20.3582693011343,1822,1499.93333333333
"classic_bike","casual","2022-11-10",4,0,0,0,0,0,22.095881421136,2946,1499.91666666667
"classic_bike","casual","2022-11-11",5,0,0,0,0,0,19.2042450980392,1700,1499.93333333333
"classic_bike","casual","2022-11-12",6,0,0,0,0,0,24.8179824561403,1140,1499.9
"classic_bike","casual","2022-11-13",7,0,0,0,0,0,24.7644012944984,1133,1499.91666666667
"classic_bike","casual","2022-11-14",1,0,0,0,0,0,21.2183663833805,706,1499.91666666667
"classic_bike","casual","2022-11-15",2,0,0,0,0,0,13.2569094304388,357,643.033333333333
"classic_bike","casual","2022-11-16",3,0,0,0,0,0,16.7107053682896,534,1499.86666666667
"classic_bike","casual","2022-11-17",4,0,0,0,0,0,14.6409063804413,559,1499.7
"classic_bike","casual","2022-11-18",5,0,0,0,0,0,30.4746941896024,436,1499.9
"classic_bike","casual","2022-11-19",6,0,0,0,0,0,30.7241054613936,354,1499.93333333333
"classic_bike","casual","2022-11-20",7,0,0,0,0,0,39.7740797546012,326,1499.9
"classic_bike","casual","2022-11-21",1,0,0,0,0,0,17.8552616108172,567,1499.7
"classic_bike","casual","2022-11-22",2,0,0,0,0,0,26.1882298850575,725,1499.91666666667
"classic_bike","casual","2022-11-23",3,0,0,0,0,0,20.6801678908709,953,1499.91666666667
"classic_bike","casual","2022-11-24",4,0,0,0,0,0,35.2968721461187,730,1499.91666666667
"classic_bike","casual","2022-11-25",5,0,0,0,0,0,27.1062613101701,921,1499.91666666667
"classic_bike","casual","2022-11-26",6,0,0,0,0,0,30.1157414448669,1315,1499.93333333333
"classic_bike","casual","2022-11-27",7,0,0,0,0,0,27.1671031746032,420,1499.91666666667
"classic_bike","casual","2022-11-28",1,0,0,0,0,0,21.3215439856373,557,1499.91666666667
"classic_bike","casual","2022-11-29",2,0,0,0,0,0,14.2051707551708,693,183.5
